slug,title,pdf_sha256,category,definition
acceptable-encryption-standard,Acceptable Encryption Standard,5ec2d89a4b4653921e94a2de65305a25d29b9f5219430392e35fa75b32ce5bb3,Cipher Standards,"Ciphers in use must meet or exceed the sets defined as ""AES-compatible"" or ""partially AES-compatible"" in the IETF/IRTF Cipher Catalog, or the set defined for use in NIST FIPS 140-2 or any superseding document applicable on the implementation date."
acceptable-encryption-standard,Acceptable Encryption Standard,5ec2d89a4b4653921e94a2de65305a25d29b9f5219430392e35fa75b32ce5bb3,Symmetric Encryption,The Advanced Encryption Standard (AES) is strongly recommended for symmetric encryption.
acceptable-encryption-standard,Acceptable Encryption Standard,5ec2d89a4b4653921e94a2de65305a25d29b9f5219430392e35fa75b32ce5bb3,Algorithm Standards,Algorithms in use must meet the standards defined for use in NIST FIPS 140-2 or any superseding document applicable on the implementation date.
acceptable-encryption-standard,Acceptable Encryption Standard,5ec2d89a4b4653921e94a2de65305a25d29b9f5219430392e35fa75b32ce5bb3,Asymmetric Encryption,RSA and Elliptic Curve Cryptography (ECC) are strongly recommended for asymmetric encryption.
acceptable-encryption-standard,Acceptable Encryption Standard,5ec2d89a4b4653921e94a2de65305a25d29b9f5219430392e35fa75b32ce5bb3,ECDSA Key Length,ECDSA signatures must use a minimum key length of P-256.
acceptable-encryption-standard,Acceptable Encryption Standard,5ec2d89a4b4653921e94a2de65305a25d29b9f5219430392e35fa75b32ce5bb3,ECDSA Patent Consideration,Consider RFC 6090 to avoid patent infringement when using ECDSA.
acceptable-encryption-standard,Acceptable Encryption Standard,5ec2d89a4b4653921e94a2de65305a25d29b9f5219430392e35fa75b32ce5bb3,RSA Key Length,RSA signatures must use a minimum key length of 2048 bits.
acceptable-encryption-standard,Acceptable Encryption Standard,5ec2d89a4b4653921e94a2de65305a25d29b9f5219430392e35fa75b32ce5bb3,RSA Padding,RSA signatures must use a secure padding scheme.
acceptable-encryption-standard,Acceptable Encryption Standard,5ec2d89a4b4653921e94a2de65305a25d29b9f5219430392e35fa75b32ce5bb3,PKCS#7 Padding,The PKCS#7 padding scheme is recommended for RSA signatures.
acceptable-encryption-standard,Acceptable Encryption Standard,5ec2d89a4b4653921e94a2de65305a25d29b9f5219430392e35fa75b32ce5bb3,Message Hashing,Message hashing is required for RSA signatures.
acceptable-encryption-standard,Acceptable Encryption Standard,5ec2d89a4b4653921e94a2de65305a25d29b9f5219430392e35fa75b32ce5bb3,LDWM Hashing,LDWM signatures must use SHA-256 and refer to the LDWM Hash-based Signatures Draft.
acceptable-encryption-standard,Acceptable Encryption Standard,5ec2d89a4b4653921e94a2de65305a25d29b9f5219430392e35fa75b32ce5bb3,Hash Functions,The organization must adhere to the NIST Policy on Hash Functions.
acceptable-encryption-standard,Acceptable Encryption Standard,5ec2d89a4b4653921e94a2de65305a25d29b9f5219430392e35fa75b32ce5bb3,Key Exchange Protocols,"Key exchanges must use Diffie-Hellman, IKE, or Elliptic Curve Diffie-Hellman (ECDH)."
acceptable-encryption-standard,Acceptable Encryption Standard,5ec2d89a4b4653921e94a2de65305a25d29b9f5219430392e35fa75b32ce5bb3,Endpoint Authentication,Endpoints must be authenticated before session keys are exchanged or derived.
acceptable-encryption-standard,Acceptable Encryption Standard,5ec2d89a4b4653921e94a2de65305a25d29b9f5219430392e35fa75b32ce5bb3,Public Key Authentication,Public keys used to establish trust must be authenticated before use.
acceptable-encryption-standard,Acceptable Encryption Standard,5ec2d89a4b4653921e94a2de65305a25d29b9f5219430392e35fa75b32ce5bb3,Authentication Methods,Public-key authentication may include transmission through a cryptographically signed message or manual verification of the public-key hash.
acceptable-encryption-standard,Acceptable Encryption Standard,5ec2d89a4b4653921e94a2de65305a25d29b9f5219430392e35fa75b32ce5bb3,Authentication Server Certificates,"All authentication servers, such as RADIUS or TACACS servers, must have a valid certificate signed by a known trusted provider installed."
acceptable-encryption-standard,Acceptable Encryption Standard,5ec2d89a4b4653921e94a2de65305a25d29b9f5219430392e35fa75b32ce5bb3,SSL/TLS Certificates,"All servers and applications using SSL or TLS must have certificates signed by a known, trusted provider."
acceptable-encryption-standard,Acceptable Encryption Standard,5ec2d89a4b4653921e94a2de65305a25d29b9f5219430392e35fa75b32ce5bb3,Secure Key Generation and Storage,"Cryptographic keys must be generated and stored securely to prevent loss, theft, or compromise."
acceptable-encryption-standard,Acceptable Encryption Standard,5ec2d89a4b4653921e94a2de65305a25d29b9f5219430392e35fa75b32ce5bb3,Random Number Generation,Key generation must be seeded by an industry-standard random number generator (RNG).
