slug,title,pdf_sha256,category,definition
acceptable-use-standard,Acceptable Use Standard,462c356f238f3c9837534c38efe2a946bdce2badf5c402d3d106d2e1676047c6,Proprietary Information Ownership,"Proprietary information stored on electronic and computing devices, whether owned or leased by <Company Name>, an employee, or a third party, remains the sole property of <Company Name>."
acceptable-use-standard,Acceptable Use Standard,462c356f238f3c9837534c38efe2a946bdce2badf5c402d3d106d2e1676047c6,Proprietary Information Protection,Users must ensure through legal or technical means that proprietary information is protected in accordance with the Data Protection Standard.
acceptable-use-standard,Acceptable Use Standard,462c356f238f3c9837534c38efe2a946bdce2badf5c402d3d106d2e1676047c6,Incident Reporting,"Users must promptly report the theft, loss, or unauthorized disclosure of <Company Name> proprietary information."
acceptable-use-standard,Acceptable Use Standard,462c356f238f3c9837534c38efe2a946bdce2badf5c402d3d106d2e1676047c6,Authorized Information Use,"Users may access, use, or share <Company Name> proprietary information only when authorized and necessary to fulfill assigned job duties."
acceptable-use-standard,Acceptable Use Standard,462c356f238f3c9837534c38efe2a946bdce2badf5c402d3d106d2e1676047c6,Reasonable Personal Use,Employees must exercise good judgment regarding the reasonableness of personal use.
acceptable-use-standard,Acceptable Use Standard,462c356f238f3c9837534c38efe2a946bdce2badf5c402d3d106d2e1676047c6,Departmental Personal-Use Guidelines,"Individual departments must create guidelines concerning personal use of Internet, Intranet, and Extranet systems."
acceptable-use-standard,Acceptable Use Standard,462c356f238f3c9837534c38efe2a946bdce2badf5c402d3d106d2e1676047c6,Personal-Use Guidance,"In the absence of specific personal-use policies, employees should follow departmental policies and consult their supervisor or manager if uncertain."
acceptable-use-standard,Acceptable Use Standard,462c356f238f3c9837534c38efe2a946bdce2badf5c402d3d106d2e1676047c6,Security Monitoring,"Authorized individuals within <Company Name> may monitor equipment, systems, and network traffic at any time for security and network maintenance purposes, in accordance with Infosec's Audit Policy."
acceptable-use-standard,Acceptable Use Standard,462c356f238f3c9837534c38efe2a946bdce2badf5c402d3d106d2e1676047c6,Periodic Auditing,<Company Name> may periodically audit networks and systems to ensure compliance with this policy.
acceptable-use-standard,Acceptable Use Standard,462c356f238f3c9837534c38efe2a946bdce2badf5c402d3d106d2e1676047c6,Minimum Access Compliance,All mobile and computing devices that connect to the internal network must comply with the Minimum Access Policy.
acceptable-use-standard,Acceptable Use Standard,462c356f238f3c9837534c38efe2a946bdce2badf5c402d3d106d2e1676047c6,Password Policy Compliance,System-level and user-level passwords must comply with the Password Policy.
acceptable-use-standard,Acceptable Use Standard,462c356f238f3c9837534c38efe2a946bdce2badf5c402d3d106d2e1676047c6,Access Sharing Prohibited,"Providing access to another individual, either deliberately or through failure to secure access, is prohibited."
acceptable-use-standard,Acceptable Use Standard,462c356f238f3c9837534c38efe2a946bdce2badf5c402d3d106d2e1676047c6,Automatic Screen Lock,All computing devices must use a password-protected lock screen configured to activate automatically after 10 minutes or less.
acceptable-use-standard,Acceptable Use Standard,462c356f238f3c9837534c38efe2a946bdce2badf5c402d3d106d2e1676047c6,Unattended Device Security,Users must lock the screen or log off when a device is unattended.
acceptable-use-standard,Acceptable Use Standard,462c356f238f3c9837534c38efe2a946bdce2badf5c402d3d106d2e1676047c6,Online Posting Disclaimer,"Employee postings from a <Company Name> email address to newsgroups or other online platforms should state that the opinions expressed are the employee's own and not necessarily those of <Company Name>, unless posting is part of business duties."
acceptable-use-standard,Acceptable Use Standard,462c356f238f3c9837534c38efe2a946bdce2badf5c402d3d106d2e1676047c6,Email Attachment Caution,Employees must use extreme caution when opening email attachments from unknown senders because they may contain malware.
acceptable-use-standard,Acceptable Use Standard,462c356f238f3c9837534c38efe2a946bdce2badf5c402d3d106d2e1676047c6,Legal Use of Resources,"Employees must not engage in any activity that violates local, state, federal, or international law while using <Company Name>-owned resources."
