slug,title,pdf_sha256,category,definition
access-management-policy,Access Management Policy,3628c4ea70bb90ca8e17c95cda2f90de0d7d67976dccc90c00e564a04475674a,AM-01 Roles and Responsibilities Process,Define a process for creating and documenting roles and responsibilities for each of the organization's workforce members.
access-management-policy,Access Management Policy,3628c4ea70bb90ca8e17c95cda2f90de0d7d67976dccc90c00e564a04475674a,AM-02 Separation of Duties,Ensure that documented roles and responsibilities for workforce members consider the principle of separation of duties when defining roles.
access-management-policy,Access Management Policy,3628c4ea70bb90ca8e17c95cda2f90de0d7d67976dccc90c00e564a04475674a,AM-03 Documented Access Control Lists,Maintain documented Access Control Lists (ACLs) for each computing system and business application system.
access-management-policy,Access Management Policy,3628c4ea70bb90ca8e17c95cda2f90de0d7d67976dccc90c00e564a04475674a,AM-04 Role-Based ACLs,Ensure that documented ACLs for computing systems and business applications are based on the organization's defined roles for workforce members.
access-management-policy,Access Management Policy,3628c4ea70bb90ca8e17c95cda2f90de0d7d67976dccc90c00e564a04475674a,AM-05 Object Access Controls,"Maintain ACLs on computing system objects based on approved documentation, roles, and the principle of least privilege."
access-management-policy,Access Management Policy,3628c4ea70bb90ca8e17c95cda2f90de0d7d67976dccc90c00e564a04475674a,AM-06 Function Access Controls,"Maintain ACLs on computing system functions based on approved documentation, roles, and the principle of least privilege."
access-management-policy,Access Management Policy,3628c4ea70bb90ca8e17c95cda2f90de0d7d67976dccc90c00e564a04475674a,AM-07 Code Repository Access Controls,"Maintain ACLs on code repositories based on approved documentation, roles, and the principle of least privilege."
access-management-policy,Access Management Policy,3628c4ea70bb90ca8e17c95cda2f90de0d7d67976dccc90c00e564a04475674a,AM-08 Encryption at Rest,Ensure that ACLs enforce encryption of data at rest on each of the organization's computing systems.
access-management-policy,Access Management Policy,3628c4ea70bb90ca8e17c95cda2f90de0d7d67976dccc90c00e564a04475674a,AM-09 Encryption in Transit,Ensure that ACLs enforce data encryption in transit on each computing system.
access-management-policy,Access Management Policy,3628c4ea70bb90ca8e17c95cda2f90de0d7d67976dccc90c00e564a04475674a,AM-10 ACL Review Process,Define a process for reviewing the organization's documented ACLs on a regular basis.
access-management-policy,Access Management Policy,3628c4ea70bb90ca8e17c95cda2f90de0d7d67976dccc90c00e564a04475674a,AM-11 ACL Documentation Review,Define a process for reviewing the organization's ACL documentation on a regular basis.
access-management-policy,Access Management Policy,3628c4ea70bb90ca8e17c95cda2f90de0d7d67976dccc90c00e564a04475674a,AM-12 Group or Role Membership Review,Define a process to regularly review the group or role membership used by the organization's ACLs.
access-management-policy,Access Management Policy,3628c4ea70bb90ca8e17c95cda2f90de0d7d67976dccc90c00e564a04475674a,AM-13 ACL Change Logging and Alerting,Ensure the organization's information systems log and alert changes to group or role memberships or configured ACLs.
