slug,title,pdf_sha256,category,definition
artificial-intelligence-acceptable-use-standard,Artificial Intelligence Standard,959656bd3a65d4e9e0fda2e868e28cbfcb9f7f440d8fb94257382ed1b7716b87,Policy enforcement,The ResponsibleCorporateOfficer is responsible for enforcing the Artificial Intelligence Use Policy.
artificial-intelligence-acceptable-use-standard,Artificial Intelligence Standard,959656bd3a65d4e9e0fda2e868e28cbfcb9f7f440d8fb94257382ed1b7716b87,Global impact assessment,"Representatives using AI must consider the global impact of the decision, including whether a use permitted in one country may be prohibited in another."
artificial-intelligence-acceptable-use-standard,Artificial Intelligence Standard,959656bd3a65d4e9e0fda2e868e28cbfcb9f7f440d8fb94257382ed1b7716b87,Manager consultation,"Before using AI for any business task or process, consult with your manager and seek guidance."
artificial-intelligence-acceptable-use-standard,Artificial Intelligence Standard,959656bd3a65d4e9e0fda2e868e28cbfcb9f7f440d8fb94257382ed1b7716b87,Embedded AI tools,Embedded AI tools in approved software may be used without additional approval only when aligned with the software’s previously approved general business uses.
artificial-intelligence-acceptable-use-standard,Artificial Intelligence Standard,959656bd3a65d4e9e0fda2e868e28cbfcb9f7f440d8fb94257382ed1b7716b87,Third-party AI evaluation,"AI used by third-party software, services, or contractors must be identified and carefully evaluated."
artificial-intelligence-acceptable-use-standard,Artificial Intelligence Standard,959656bd3a65d4e9e0fda2e868e28cbfcb9f7f440d8fb94257382ed1b7716b87,Contracted AI services,Contracted services that use AI technology must be assessed in the same manner as individual AI use.
artificial-intelligence-acceptable-use-standard,Artificial Intelligence Standard,959656bd3a65d4e9e0fda2e868e28cbfcb9f7f440d8fb94257382ed1b7716b87,AI contract clause,Consult the Legal Department about including an AI-specific clause in vendor or contractor agreements.
artificial-intelligence-acceptable-use-standard,Artificial Intelligence Standard,959656bd3a65d4e9e0fda2e868e28cbfcb9f7f440d8fb94257382ed1b7716b87,Business-aligned use,Use an AI system primarily to complete departmental goals directed by company leadership.
artificial-intelligence-acceptable-use-standard,Artificial Intelligence Standard,959656bd3a65d4e9e0fda2e868e28cbfcb9f7f440d8fb94257382ed1b7716b87,AI Committee approval,"Except for an Embedded AI Tool in approved software, obtain AI Committee approval before using a new AI system."
artificial-intelligence-acceptable-use-standard,Artificial Intelligence Standard,959656bd3a65d4e9e0fda2e868e28cbfcb9f7f440d8fb94257382ed1b7716b87,Subject-matter expertise,Individuals using an AI system must have expertise in the subject matter for which the AI is used; AI must be treated as a tool rather than a substitute for expertise.
