slug,title,pdf_sha256,category,definition
cloud-service-provider-management-policy,Cloud Service Provider Management Policy,e3baffe7302caca6e6371a46b54b2efe2750ab76591f8cccf716aa518b29f30b,CSP-01,Maintain an inventory of each of the organization's authorized Cloud Service Providers (CSPs).
cloud-service-provider-management-policy,Cloud Service Provider Management Policy,e3baffe7302caca6e6371a46b54b2efe2750ab76591f8cccf716aa518b29f30b,CSP-02,Maintain an inventory of each service authorized for use in each authorized Cloud Service Provider (CSP).
cloud-service-provider-management-policy,Cloud Service Provider Management Policy,e3baffe7302caca6e6371a46b54b2efe2750ab76591f8cccf716aa518b29f30b,CSP-03,Maintain an inventory of the organization's authorized Software-as-a-Service (SaaS) providers.
cloud-service-provider-management-policy,Cloud Service Provider Management Policy,e3baffe7302caca6e6371a46b54b2efe2750ab76591f8cccf716aa518b29f30b,CSP-04,Maintain an inventory of the accounts authorized for use in each authorized Cloud Service Provider (CSP) or Software-as-a-Service (SaaS) provider.
cloud-service-provider-management-policy,Cloud Service Provider Management Policy,e3baffe7302caca6e6371a46b54b2efe2750ab76591f8cccf716aa518b29f30b,CSP-05,Maintain a cybersecurity configuration benchmark for each of the organization's authorized Cloud Service Providers (CSPs).
cloud-service-provider-management-policy,Cloud Service Provider Management Policy,e3baffe7302caca6e6371a46b54b2efe2750ab76591f8cccf716aa518b29f30b,CSP-06,Maintain a cybersecurity configuration benchmark for each service authorized for use in each of the organization's authorized Cloud Service Providers (CSPs).
cloud-service-provider-management-policy,Cloud Service Provider Management Policy,e3baffe7302caca6e6371a46b54b2efe2750ab76591f8cccf716aa518b29f30b,CSP-07,Maintain a cybersecurity configuration benchmark for each of the organization's authorized Software-as-a-Service (SaaS) providers.
cloud-service-provider-management-policy,Cloud Service Provider Management Policy,e3baffe7302caca6e6371a46b54b2efe2750ab76591f8cccf716aa518b29f30b,CSP-08,Maintain a cloud configuration vulnerability management system to regularly scan each of the organization's authorized Cloud Service Providers (CSPs) or Software-as-a-Service (SaaS) providers for potential cybersecurity vulnerabilities.
cloud-service-provider-management-policy,Cloud Service Provider Management Policy,e3baffe7302caca6e6371a46b54b2efe2750ab76591f8cccf716aa518b29f30b,CSP-09,Maintain a Data Loss Prevention (DLP) system to regularly log and alert on potential data loss events in the organization's Cloud Service Providers (CSPs) or Software-as-a-Service (SaaS) providers.
cloud-service-provider-management-policy,Cloud Service Provider Management Policy,e3baffe7302caca6e6371a46b54b2efe2750ab76591f8cccf716aa518b29f30b,CSP-10,Ensure that appropriate logs from the organization's authorized Cloud Service Providers (CSPs) or Software-as-a-Service (SaaS) providers are enabled on the cloud platform.
cloud-service-provider-management-policy,Cloud Service Provider Management Policy,e3baffe7302caca6e6371a46b54b2efe2750ab76591f8cccf716aa518b29f30b,CSP-11,Ensure that appropriate logs from the organization's authorized Cloud Service Providers (CSPs) or Software-as-a-Service (SaaS) providers are aggregated into the organization's log management system.
