slug,title,pdf_sha256,category,definition
configuration-management-policy,Configuration Management Policy,3c0363624355f8a2e3a1a9dae9a3f9b7744f9b4d4e9a0fa40dfba2053c201490,CFG-01,Maintain a library of approved operating system configuration benchmarks to ensure that each of the organization's operating systems is configured securely.
configuration-management-policy,Configuration Management Policy,3c0363624355f8a2e3a1a9dae9a3f9b7744f9b4d4e9a0fa40dfba2053c201490,CFG-02,Ensure that the approved operating system configuration benchmark defines the organization's ability to disable all unnecessary operating system services.
configuration-management-policy,Configuration Management Policy,3c0363624355f8a2e3a1a9dae9a3f9b7744f9b4d4e9a0fa40dfba2053c201490,CFG-03,"Ensure that the approved operating system configuration benchmark requires the organization to define configuration benchmarks for each necessary service, including databases, SMB services, tiny services, VoIP, and similar services."
configuration-management-policy,Configuration Management Policy,3c0363624355f8a2e3a1a9dae9a3f9b7744f9b4d4e9a0fa40dfba2053c201490,CFG-04,Ensure that the approved operating system configuration benchmark defines the organization as having unnecessary scripting languages in the operating system.
configuration-management-policy,Configuration Management Policy,3c0363624355f8a2e3a1a9dae9a3f9b7744f9b4d4e9a0fa40dfba2053c201490,CFG-05,"Ensure that the approved operating system configuration benchmark requires advanced logging for operating system shells, such as Microsoft PowerShell or BASH."
configuration-management-policy,Configuration Management Policy,3c0363624355f8a2e3a1a9dae9a3f9b7744f9b4d4e9a0fa40dfba2053c201490,CFG-06,"Ensure that the approved operating system configuration benchmark requires enforcement of cybersecurity services such as Data Execution Protection (DEP), Address Space Layout Randomization (ASLR), and User Account Control (UAC)."
configuration-management-policy,Configuration Management Policy,3c0363624355f8a2e3a1a9dae9a3f9b7744f9b4d4e9a0fa40dfba2053c201490,CFG-07,Ensure that the approved operating system configuration benchmark defines the organization's ability to disable autorun on its operating systems.
configuration-management-policy,Configuration Management Policy,3c0363624355f8a2e3a1a9dae9a3f9b7744f9b4d4e9a0fa40dfba2053c201490,CFG-08,Ensure that the approved operating system configuration benchmark requires machine locks (screensavers) after a defined period of inactivity.
configuration-management-policy,Configuration Management Policy,3c0363624355f8a2e3a1a9dae9a3f9b7744f9b4d4e9a0fa40dfba2053c201490,CFG-09,"Ensure that the approved operating system configuration benchmark requires a secure boot process, such as UEFI, to verify the integrity of the operating system before loading."
configuration-management-policy,Configuration Management Policy,3c0363624355f8a2e3a1a9dae9a3f9b7744f9b4d4e9a0fa40dfba2053c201490,CFG-10,Ensure that the approved operating system configuration benchmark requires unnecessary wireless protocols and networks to be disabled on the organization's endpoints.
configuration-management-policy,Configuration Management Policy,3c0363624355f8a2e3a1a9dae9a3f9b7744f9b4d4e9a0fa40dfba2053c201490,CFG-11,Maintain a library of approved software application configuration benchmarks to ensure that each of the organization's software applications is configured securely.
configuration-management-policy,Configuration Management Policy,3c0363624355f8a2e3a1a9dae9a3f9b7744f9b4d4e9a0fa40dfba2053c201490,CFG-12,Maintain a configuration enforcement system to enforce the organization's approved operating system and application configurations on each organizational computing system.
configuration-management-policy,Configuration Management Policy,3c0363624355f8a2e3a1a9dae9a3f9b7744f9b4d4e9a0fa40dfba2053c201490,CFG-13,"Ensure that the configuration enforcement system enforces approved operating system and application configurations regardless of the computing system's location, whether onsite or operating remotely."
