slug,title,pdf_sha256,category,definition
data-management-policy,Data Inventory Management Policy,d984e9055da0d6d65b96f5a2f82b70e52e4e888765ba86c643a9a829dc853f97,DTA-01,Maintain a data inventory management system to track data managed by the organization.
data-management-policy,Data Inventory Management Policy,d984e9055da0d6d65b96f5a2f82b70e52e4e888765ba86c643a9a829dc853f97,DTA-02,Ensure the organization's data inventory management system maintains an inventory of data managed by the organization and under its control.
data-management-policy,Data Inventory Management Policy,d984e9055da0d6d65b96f5a2f82b70e52e4e888765ba86c643a9a829dc853f97,DTA-03,Ensure the organization's data inventory management system maintains an inventory of data managed by the organization and under the control of third parties.
data-management-policy,Data Inventory Management Policy,d984e9055da0d6d65b96f5a2f82b70e52e4e888765ba86c643a9a829dc853f97,DTA-04,Ensure the organization's data inventory management system maintains documented definitions of the categories of data it manages.
data-management-policy,Data Inventory Management Policy,d984e9055da0d6d65b96f5a2f82b70e52e4e888765ba86c643a9a829dc853f97,DTA-05,Ensure the organization's data inventory management system defines data owners for all data the organization manages.
data-management-policy,Data Inventory Management Policy,d984e9055da0d6d65b96f5a2f82b70e52e4e888765ba86c643a9a829dc853f97,DTA-06,Ensure the organization's data inventory management system tracks the necessity of the data managed by the organization when the organization's data owners approve it.
data-management-policy,Data Inventory Management Policy,d984e9055da0d6d65b96f5a2f82b70e52e4e888765ba86c643a9a829dc853f97,DTA-07,Ensure the organization's data inventory management system tracks the business purpose of all data managed by the organization.
data-management-policy,Data Inventory Management Policy,d984e9055da0d6d65b96f5a2f82b70e52e4e888765ba86c643a9a829dc853f97,DTA-08,Ensure the organization's data inventory management system tracks data that should be masked in information systems.
data-management-policy,Data Inventory Management Policy,d984e9055da0d6d65b96f5a2f82b70e52e4e888765ba86c643a9a829dc853f97,DTA-09,"Ensure the organization's data inventory management system tracks the classification, criticality, and sensitivity of all data it manages."
data-management-policy,Data Inventory Management Policy,d984e9055da0d6d65b96f5a2f82b70e52e4e888765ba86c643a9a829dc853f97,DTA-10,Ensure the organization's data inventory management system documents the location of all data managed during the processing lifecycle.
data-management-policy,Data Inventory Management Policy,d984e9055da0d6d65b96f5a2f82b70e52e4e888765ba86c643a9a829dc853f97,DTA-11,"Maintain a system to automatically inventory and classify items managed by the organization, whether onsite or located at a third party."
data-management-policy,Data Inventory Management Policy,d984e9055da0d6d65b96f5a2f82b70e52e4e888765ba86c643a9a829dc853f97,DTA-12,"Ensure that the organization's data inventory system automatically discovers data managed by the organization, whether onsite or at a third party."
data-management-policy,Data Inventory Management Policy,d984e9055da0d6d65b96f5a2f82b70e52e4e888765ba86c643a9a829dc853f97,DTA-13,"Ensure that the organization's data inventory system automatically classifies and labels data managed by the organization, whether onsite or located at a third party."
data-management-policy,Data Inventory Management Policy,d984e9055da0d6d65b96f5a2f82b70e52e4e888765ba86c643a9a829dc853f97,DTA-14,Ensure that the organization's data inventory system automatically discovers when its private data is located in publicly available locations.
data-management-policy,Data Inventory Management Policy,d984e9055da0d6d65b96f5a2f82b70e52e4e888765ba86c643a9a829dc853f97,DTA-15,Ensure that the organization's data inventory system is integrated with the organization's asset inventory system.
data-management-policy,Data Inventory Management Policy,d984e9055da0d6d65b96f5a2f82b70e52e4e888765ba86c643a9a829dc853f97,DTA-16,"Ensure that the organization's data inventory system logs and alerts events related to the data it manages, such as access, changes, and deletions."
data-management-policy,Data Inventory Management Policy,d984e9055da0d6d65b96f5a2f82b70e52e4e888765ba86c643a9a829dc853f97,DTA-17,"Ensure that the organization's data inventory system logs and alerts events related to system configuration files managed by the organization, such as access, changes, and deletions."
data-management-policy,Data Inventory Management Policy,d984e9055da0d6d65b96f5a2f82b70e52e4e888765ba86c643a9a829dc853f97,DTA-18,Define a process the organization will use to define data retention periods for different types of data managed by the organization.
data-management-policy,Data Inventory Management Policy,d984e9055da0d6d65b96f5a2f82b70e52e4e888765ba86c643a9a829dc853f97,DTA-19,Define a process the organization will use to archive data managed by the organization whenever possible.
