slug,title,pdf_sha256,category,definition
education-management-policy,Education Management Policy,e1ba8ca3556ab516ca3af2e5c884bd6ff91c462d4cf378b1dc3944a14702fe1e,EDU-01,Ensure that all workforce members have access to documentation defining the cybersecurity safeguards related to their roles and responsibilities.
education-management-policy,Education Management Policy,e1ba8ca3556ab516ca3af2e5c884bd6ff91c462d4cf378b1dc3944a14702fe1e,EDU-02,"Maintain a technology platform for delivering cybersecurity-related education to workforce members, such as a Learning Management System (LMS)."
education-management-policy,Education Management Policy,e1ba8ca3556ab516ca3af2e5c884bd6ff91c462d4cf378b1dc3944a14702fe1e,EDU-03,"Maintain a technology platform, such as a Learning Management System (LMS), for tracking cybersecurity-related education delivered to workforce members."
education-management-policy,Education Management Policy,e1ba8ca3556ab516ca3af2e5c884bd6ff91c462d4cf378b1dc3944a14702fe1e,EDU-04,"Ensure that all workforce members, including engineers, developers, and privileged users, regularly receive appropriate education on cybersecurity safeguards related to their roles and responsibilities."
education-management-policy,Education Management Policy,e1ba8ca3556ab516ca3af2e5c884bd6ff91c462d4cf378b1dc3944a14702fe1e,EDU-05,Ensure that all workforce members regularly receive appropriate cybersecurity awareness training related to their roles and responsibilities.
education-management-policy,Education Management Policy,e1ba8ca3556ab516ca3af2e5c884bd6ff91c462d4cf378b1dc3944a14702fe1e,EDU-06,Ensure that the cybersecurity education program appropriately educates workforce members on securely authenticating to information systems.
education-management-policy,Education Management Policy,e1ba8ca3556ab516ca3af2e5c884bd6ff91c462d4cf378b1dc3944a14702fe1e,EDU-07,Ensure that the cybersecurity education program appropriately educates workforce members on securely communicating over untrusted networks.
education-management-policy,Education Management Policy,e1ba8ca3556ab516ca3af2e5c884bd6ff91c462d4cf378b1dc3944a14702fe1e,EDU-08,"Ensure that the cybersecurity education program appropriately educates workforce members on securely handling data, including the most likely reasons data may be exposed."
education-management-policy,Education Management Policy,e1ba8ca3556ab516ca3af2e5c884bd6ff91c462d4cf378b1dc3944a14702fe1e,EDU-09,"Ensure that the cybersecurity education program appropriately educates workforce members on securely responding to social engineering techniques, including identifying and handling such activities."
education-management-policy,Education Management Policy,e1ba8ca3556ab516ca3af2e5c884bd6ff91c462d4cf378b1dc3944a14702fe1e,EDU-10,Ensure that the cybersecurity education program appropriately educates workforce members on securely reporting cybersecurity safeguard failures.
education-management-policy,Education Management Policy,e1ba8ca3556ab516ca3af2e5c884bd6ff91c462d4cf378b1dc3944a14702fe1e,EDU-11,Ensure that the cybersecurity education program appropriately educates workforce members on securely reporting potential cybersecurity incidents to the organization.
education-management-policy,Education Management Policy,e1ba8ca3556ab516ca3af2e5c884bd6ff91c462d4cf378b1dc3944a14702fe1e,EDU-12,Regularly perform educational activities that reinforce the cybersecurity education program and validate the effectiveness of the program.
education-management-policy,Education Management Policy,e1ba8ca3556ab516ca3af2e5c884bd6ff91c462d4cf378b1dc3944a14702fe1e,EDU-13,Regularly validate the effectiveness of the cybersecurity education program using quantifiable measures that can be reported to business stakeholders.
education-management-policy,Education Management Policy,e1ba8ca3556ab516ca3af2e5c884bd6ff91c462d4cf378b1dc3944a14702fe1e,EDU-14,Regularly report the results of validating the effectiveness of the cybersecurity education program to business stakeholders.
