slug,title,pdf_sha256,category,definition
identity-management-policy,Identity Management Policy,495818aff1a137e00f600dcbdf3ef05cebe04f7560c6989480a9a7d7468cc797,ID-01,Maintain a Human Resources (HR) program to formally manage the organization's workforce members.
identity-management-policy,Identity Management Policy,495818aff1a137e00f600dcbdf3ef05cebe04f7560c6989480a9a7d7468cc797,ID-02,Maintain a Human Resources Information System (HRIS) to track the status of each organization's workforce member.
identity-management-policy,Identity Management Policy,495818aff1a137e00f600dcbdf3ef05cebe04f7560c6989480a9a7d7468cc797,ID-03,Ensure that the organization's Human Resources (HR) program performs background screening for each workforce member.
identity-management-policy,Identity Management Policy,495818aff1a137e00f600dcbdf3ef05cebe04f7560c6989480a9a7d7468cc797,ID-04,Ensure that the organization's Human Resources (HR) program requires workforce members to agree to the organization's terms and conditions of employment or similar appropriate contracts.
identity-management-policy,Identity Management Policy,495818aff1a137e00f600dcbdf3ef05cebe04f7560c6989480a9a7d7468cc797,ID-05,Ensure that the organization's Human Resources (HR) program includes a process for workforce members to return physical assets after their work with the organization.
identity-management-policy,Identity Management Policy,495818aff1a137e00f600dcbdf3ef05cebe04f7560c6989480a9a7d7468cc797,ID-06,Ensure that the organization's Human Resources (HR) program includes a process for workforce members to return information assets after their work with the organization.
identity-management-policy,Identity Management Policy,495818aff1a137e00f600dcbdf3ef05cebe04f7560c6989480a9a7d7468cc797,ID-07,Ensure that the organization's Human Resources (HR) program includes a process for workforce members to return authentication credentials after their work with the organization.
identity-management-policy,Identity Management Policy,495818aff1a137e00f600dcbdf3ef05cebe04f7560c6989480a9a7d7468cc797,ID-08,Maintain an inventory of each Identity Provider (IDP) the organization approves.
identity-management-policy,Identity Management Policy,495818aff1a137e00f600dcbdf3ef05cebe04f7560c6989480a9a7d7468cc797,ID-09,Ensure that the organization minimizes the number of Identity Providers (IDPs) it uses and utilizes centralized Single Sign On (SSO) solutions whenever possible.
identity-management-policy,Identity Management Policy,495818aff1a137e00f600dcbdf3ef05cebe04f7560c6989480a9a7d7468cc797,ID-10,Maintain an inventory of each user account authorized by the Identity Provider (IDP).
identity-management-policy,Identity Management Policy,495818aff1a137e00f600dcbdf3ef05cebe04f7560c6989480a9a7d7468cc797,ID-11,Maintain a configuration benchmark for each of the organization's authorized Identity Providers (IDPs).
identity-management-policy,Identity Management Policy,495818aff1a137e00f600dcbdf3ef05cebe04f7560c6989480a9a7d7468cc797,ID-12,Ensure that the configuration benchmarks for each of the organization's Identity Providers (IDPs) do not allow workforce members to share accounts.
identity-management-policy,Identity Management Policy,495818aff1a137e00f600dcbdf3ef05cebe04f7560c6989480a9a7d7468cc797,ID-13,Ensure that the configuration benchmarks for each organization's Identity Providers (IDPs) do not allow concurrent account logins.
