slug,title,pdf_sha256,category,definition
internal-network-access-management-policy,Internal Network Access Management Policy,6a35437c8a41fe7007b98751fdb215e6f066ab2771128386f97b1715e8678535,INA-01,Maintain documented Virtual Local Area Networks (VLANs) for the organization's endpoint computing system networks.
internal-network-access-management-policy,Internal Network Access Management Policy,6a35437c8a41fe7007b98751fdb215e6f066ab2771128386f97b1715e8678535,INA-02,Maintain documented Virtual Local Area Networks (VLANs) for the organization's server computing system networks.
internal-network-access-management-policy,Internal Network Access Management Policy,6a35437c8a41fe7007b98751fdb215e6f066ab2771128386f97b1715e8678535,INA-03,Maintain documented Virtual Local Area Networks (VLANs) for the organization's hypervisor management system networks.
internal-network-access-management-policy,Internal Network Access Management Policy,6a35437c8a41fe7007b98751fdb215e6f066ab2771128386f97b1715e8678535,INA-04,Maintain documented Virtual Local Area Networks (VLANs) for the organization's software development networks.
internal-network-access-management-policy,Internal Network Access Management Policy,6a35437c8a41fe7007b98751fdb215e6f066ab2771128386f97b1715e8678535,INA-05,Maintain dedicated computing systems on dedicated Virtual Local Area Networks (VLANs) for high-risk computing activities.
internal-network-access-management-policy,Internal Network Access Management Policy,6a35437c8a41fe7007b98751fdb215e6f066ab2771128386f97b1715e8678535,INA-06,Maintain network authentication systems (802.1x) for each of the organization's wired networks.
internal-network-access-management-policy,Internal Network Access Management Policy,6a35437c8a41fe7007b98751fdb215e6f066ab2771128386f97b1715e8678535,INA-07,Ensure that the organization's network authentication systems (802.1x) for each wired network require certificate-based authentication.
internal-network-access-management-policy,Internal Network Access Management Policy,6a35437c8a41fe7007b98751fdb215e6f066ab2771128386f97b1715e8678535,INA-08,Maintain network authentication systems (802.1x) for each of the organization's wireless networks.
internal-network-access-management-policy,Internal Network Access Management Policy,6a35437c8a41fe7007b98751fdb215e6f066ab2771128386f97b1715e8678535,INA-09,Ensure that the organization's network authentication systems (802.1x) for each wireless network require certificate-based authentication.
internal-network-access-management-policy,Internal Network Access Management Policy,6a35437c8a41fe7007b98751fdb215e6f066ab2771128386f97b1715e8678535,INA-10,Ensure the organization's network authentication systems (802.1x) for each wireless network require the use of AES-CCMP to encrypt all wireless connections.
internal-network-access-management-policy,Internal Network Access Management Policy,6a35437c8a41fe7007b98751fdb215e6f066ab2771128386f97b1715e8678535,INA-11,Ensure the organization's network authentication systems (802.1x) for each wireless network require the use of a dedicated wireless network for all devices (guests) not managed by the organization.
internal-network-access-management-policy,Internal Network Access Management Policy,6a35437c8a41fe7007b98751fdb215e6f066ab2771128386f97b1715e8678535,INA-12,Ensure the organization's network authentication systems (802.1x) for each wired or wireless network require health checks of computing systems before allowing them access to the network.
internal-network-access-management-policy,Internal Network Access Management Policy,6a35437c8a41fe7007b98751fdb215e6f066ab2771128386f97b1715e8678535,INA-13,Ensure that each of the organization's endpoint computing systems' Virtual Local Area Networks (VLANs) enforces privatization to prevent computing systems from communicating with other systems on the same VLAN.
