slug,title,pdf_sha256,category,definition
internet-acceptable-use-standard,Internet Usage Standard,fa34516c5dbb25b765ff2c099df5434abe0a23320e7778a7add948439d4203ac,Business-Only Internet Access,Internet access must be used for business purposes only and provided only as needed to perform users’ jobs.
internet-acceptable-use-standard,Internet Usage Standard,fa34516c5dbb25b765ff2c099df5434abe0a23320e7778a7add948439d4203ac,E-mail Service,"Users may send and receive Internet e-mail messages, with or without document attachments, as needed."
internet-acceptable-use-standard,Internet Usage Standard,fa34516c5dbb25b765ff2c099df5434abe0a23320e7778a7add948439d4203ac,Web Navigation,Users may use HTTP browser tools and World Wide Web services as necessary for business purposes; Internet-originated access is limited to dedicated company public web servers.
internet-acceptable-use-standard,Internet Usage Standard,fa34516c5dbb25b765ff2c099df5434abe0a23320e7778a7add948439d4203ac,File Transfer Protocol,Users may send and receive data or files through FTP as necessary for business purposes.
internet-acceptable-use-standard,Internet Usage Standard,fa34516c5dbb25b765ff2c099df5434abe0a23320e7778a7add948439d4203ac,Telnet Strong Authentication,User strong authentication is required for Internet-initiated Telnet contacts into the company.
internet-acceptable-use-standard,Internet Usage Standard,fa34516c5dbb25b765ff2c099df5434abe0a23320e7778a7add948439d4203ac,Unauthorized Internet Services,Internet services other than those authorized by management are considered unauthorized and must not be allowed.
internet-acceptable-use-standard,Internet Usage Standard,fa34516c5dbb25b765ff2c099df5434abe0a23320e7778a7add948439d4203ac,Policy Review and Agreement,"As part of an Internet access request, an employee must read the Internet Usage Policy and associated Internet/Intranet Security Policy and sign statements confirming understanding of and agreement to comply with both policies."
internet-acceptable-use-standard,Internet Usage Standard,fa34516c5dbb25b765ff2c099df5434abe0a23320e7778a7add948439d4203ac,Acknowledgment Before Access,A signed policy acknowledgment form is required before Internet access may be granted.
internet-acceptable-use-standard,Internet Usage Standard,fa34516c5dbb25b765ff2c099df5434abe0a23320e7778a7add948439d4203ac,Access Request and Approval,The user or the user’s manager must request Internet access by submitting an IT Access Request form to the IT department with a signed Internet Usage Coverage Acknowledgment Form.
internet-acceptable-use-standard,Internet Usage Standard,fa34516c5dbb25b765ff2c099df5434abe0a23320e7778a7add948439d4203ac,Access Removal,"Internet access must be discontinued upon employee termination, contract completion, end of a non-employee’s service, or disciplinary action arising from a policy violation."
internet-acceptable-use-standard,Internet Usage Standard,fa34516c5dbb25b765ff2c099df5434abe0a23320e7778a7add948439d4203ac,Job Change Access Reset,"When a user’s job function changes or the user transfers, the original access code must be discontinued and may be reissued only if necessary and after approval of a new access request."
