slug,title,pdf_sha256,category,definition
network-device-management-policy,Network Device Management Policy,542bba7d0fb133a8ac457aeb5da3f16a8fc383fc4f5ba0a0bbb00f505183ba3f,NDM-01 Network Device Inventory,Maintain an inventory of each of the organization's approved network devices.
network-device-management-policy,Network Device Management Policy,542bba7d0fb133a8ac457aeb5da3f16a8fc383fc4f5ba0a0bbb00f505183ba3f,NDM-02 Configuration Benchmarks,Maintain network device cybersecurity configuration benchmarks for the organization's authorized network devices.
network-device-management-policy,Network Device Management Policy,542bba7d0fb133a8ac457aeb5da3f16a8fc383fc4f5ba0a0bbb00f505183ba3f,NDM-03 Dedicated Management Subnet,"Ensure the organization's network devices are managed from an approved, dedicated management network subnet."
network-device-management-policy,Network Device Management Policy,542bba7d0fb133a8ac457aeb5da3f16a8fc383fc4f5ba0a0bbb00f505183ba3f,NDM-04 No Remote Management,Ensure the organization's network devices are not managed from a remote or Internet-based network.
network-device-management-policy,Network Device Management Policy,542bba7d0fb133a8ac457aeb5da3f16a8fc383fc4f5ba0a0bbb00f505183ba3f,NDM-05 Privileged Management Access,Ensure the organization's network devices are managed from an approved Privileged Account Management (PAM) system or management jump box.
network-device-management-policy,Network Device Management Policy,542bba7d0fb133a8ac457aeb5da3f16a8fc383fc4f5ba0a0bbb00f505183ba3f,NDM-06 Multi-Factor Authentication,Ensure the organization's network devices require Multi-Factor Authentication (MFA) to access the device.
network-device-management-policy,Network Device Management Policy,542bba7d0fb133a8ac457aeb5da3f16a8fc383fc4f5ba0a0bbb00f505183ba3f,NDM-07 Encrypted Management Protocols,"Ensure the organization's network devices use encrypted remote management protocols, such as SSH or TLS."
network-device-management-policy,Network Device Management Policy,542bba7d0fb133a8ac457aeb5da3f16a8fc383fc4f5ba0a0bbb00f505183ba3f,NDM-08 Network Device Management System,Maintain a network device management system to manage each of the organization's approved network devices.
network-device-management-policy,Network Device Management Policy,542bba7d0fb133a8ac457aeb5da3f16a8fc383fc4f5ba0a0bbb00f505183ba3f,NDM-09 Device Discovery Scans,Ensure the organization's network device management system regularly scans for new network devices to add to the organization's network device inventory.
network-device-management-policy,Network Device Management Policy,542bba7d0fb133a8ac457aeb5da3f16a8fc383fc4f5ba0a0bbb00f505183ba3f,NDM-10 Status Monitoring and Alerts,Ensure the organization's network device management system monitors each network device's status and logs and alerts when it is offline.
network-device-management-policy,Network Device Management Policy,542bba7d0fb133a8ac457aeb5da3f16a8fc383fc4f5ba0a0bbb00f505183ba3f,NDM-11 IP Address Management,"Ensure the organization's network device management system performs IP Address Management (IPAM) for each network, including DHCP scopes."
network-device-management-policy,Network Device Management Policy,542bba7d0fb133a8ac457aeb5da3f16a8fc383fc4f5ba0a0bbb00f505183ba3f,NDM-12 NetFlow Data Collection,Ensure the organization's network device management system records NetFlow data from each network device.
network-device-management-policy,Network Device Management Policy,542bba7d0fb133a8ac457aeb5da3f16a8fc383fc4f5ba0a0bbb00f505183ba3f,NDM-13 Configuration Change Monitoring,Ensure the organization's network device management system regularly compares each network device's configuration to log and alert any configuration changes.
network-device-management-policy,Network Device Management Policy,542bba7d0fb133a8ac457aeb5da3f16a8fc383fc4f5ba0a0bbb00f505183ba3f,NDM-14 Firmware Updates,Ensure the organization's network device management system ensures that each network device uses the latest firmware for the network device.
