slug,title,pdf_sha256,category,definition
perimeter-network-access-management-policy,Perimeter Network Access Management Policy,c94a7c665cfe5dbc830f342913c344b7a79e32662bd0081d537352cdfd9542f3,PNA-01,"Maintain an inventory of the organization's approved perimeter network connections, including Internet and third-party connections."
perimeter-network-access-management-policy,Perimeter Network Access Management Policy,c94a7c665cfe5dbc830f342913c344b7a79e32662bd0081d537352cdfd9542f3,PNA-02,Maintain documented Access Control Lists (ACLs) for the organization's approved perimeter network connections.
perimeter-network-access-management-policy,Perimeter Network Access Management Policy,c94a7c665cfe5dbc830f342913c344b7a79e32662bd0081d537352cdfd9542f3,PNA-03,Maintain perimeter network firewalls at the organization's approved perimeter network connections.
perimeter-network-access-management-policy,Perimeter Network Access Management Policy,c94a7c665cfe5dbc830f342913c344b7a79e32662bd0081d537352cdfd9542f3,PNA-04,Ensure approved perimeter network firewalls perform IP-based filtering of perimeter network connections.
perimeter-network-access-management-policy,Perimeter Network Access Management Policy,c94a7c665cfe5dbc830f342913c344b7a79e32662bd0081d537352cdfd9542f3,PNA-05,"Ensure approved perimeter network firewalls perform protocol-based (TCP, UDP, or similar) inbound filtering of perimeter network connections."
perimeter-network-access-management-policy,Perimeter Network Access Management Policy,c94a7c665cfe5dbc830f342913c344b7a79e32662bd0081d537352cdfd9542f3,PNA-06,"Ensure approved perimeter network firewalls perform protocol-based (TCP, UDP, or similar) outbound filtering of perimeter network connections."
perimeter-network-access-management-policy,Perimeter Network Access Management Policy,c94a7c665cfe5dbc830f342913c344b7a79e32662bd0081d537352cdfd9542f3,PNA-07,Ensure approved perimeter network firewalls perform application-based filtering of perimeter network connections.
perimeter-network-access-management-policy,Perimeter Network Access Management Policy,c94a7c665cfe5dbc830f342913c344b7a79e32662bd0081d537352cdfd9542f3,PNA-08,Ensure approved perimeter network firewalls perform user-based filtering of network connections so that only authorized users can remotely connect to the organization's network.
perimeter-network-access-management-policy,Perimeter Network Access Management Policy,c94a7c665cfe5dbc830f342913c344b7a79e32662bd0081d537352cdfd9542f3,PNA-09,Ensure approved perimeter network firewalls require Multi-Factor Authentication (MFA) when authenticating all remote connections.
perimeter-network-access-management-policy,Perimeter Network Access Management Policy,c94a7c665cfe5dbc830f342913c344b7a79e32662bd0081d537352cdfd9542f3,PNA-10,"Ensure approved perimeter network firewalls use encrypted channels, such as TLS, when authenticating all remote connections."
perimeter-network-access-management-policy,Perimeter Network Access Management Policy,c94a7c665cfe5dbc830f342913c344b7a79e32662bd0081d537352cdfd9542f3,PNA-11,Ensure approved perimeter network firewalls require User Behavior Analytics (UBA) when authenticating all remote connections.
perimeter-network-access-management-policy,Perimeter Network Access Management Policy,c94a7c665cfe5dbc830f342913c344b7a79e32662bd0081d537352cdfd9542f3,PNA-12,Maintain a system to perform full packet capture for all perimeter network traffic.
perimeter-network-access-management-policy,Perimeter Network Access Management Policy,c94a7c665cfe5dbc830f342913c344b7a79e32662bd0081d537352cdfd9542f3,PNA-13,Maintain perimeter network Intrusion Detection Systems (IDS) and Intrusion Prevention Systems (IPS) at approved perimeter network connections.
perimeter-network-access-management-policy,Perimeter Network Access Management Policy,c94a7c665cfe5dbc830f342913c344b7a79e32662bd0081d537352cdfd9542f3,PNA-14,Maintain a perimeter web-based URL filtering system at the organization's Internet connections.
perimeter-network-access-management-policy,Perimeter Network Access Management Policy,c94a7c665cfe5dbc830f342913c344b7a79e32662bd0081d537352cdfd9542f3,PNA-15,"Ensure web-based URL filtering systems block network connections to unapproved web-based services, such as email or storage."
perimeter-network-access-management-policy,Perimeter Network Access Management Policy,c94a7c665cfe5dbc830f342913c344b7a79e32662bd0081d537352cdfd9542f3,PNA-16,Ensure web-based URL filtering systems decrypt all TLS-encrypted traffic to facilitate web-based URL filtering.
perimeter-network-access-management-policy,Perimeter Network Access Management Policy,c94a7c665cfe5dbc830f342913c344b7a79e32662bd0081d537352cdfd9542f3,PNA-17,Ensure web-based URL filtering systems use Data Loss Prevention (DLP) on each Internet connection.
perimeter-network-access-management-policy,Perimeter Network Access Management Policy,c94a7c665cfe5dbc830f342913c344b7a79e32662bd0081d537352cdfd9542f3,PNA-18,Ensure perimeter network firewalls log appropriate events observed by the system.
perimeter-network-access-management-policy,Perimeter Network Access Management Policy,c94a7c665cfe5dbc830f342913c344b7a79e32662bd0081d537352cdfd9542f3,PNA-19,Ensure web-based URL filtering systems log all URLs observed by the system.
perimeter-network-access-management-policy,Perimeter Network Access Management Policy,c94a7c665cfe5dbc830f342913c344b7a79e32662bd0081d537352cdfd9542f3,PNA-20,Ensure Domain Name System (DNS) systems log all DNS queries observed by the system.
perimeter-network-access-management-policy,Perimeter Network Access Management Policy,c94a7c665cfe5dbc830f342913c344b7a79e32662bd0081d537352cdfd9542f3,PNA-21,Ensure Intrusion Detection Systems (IDS) or Intrusion Prevention Systems (IPS) log all appropriate events observed by the system.
perimeter-network-access-management-policy,Perimeter Network Access Management Policy,c94a7c665cfe5dbc830f342913c344b7a79e32662bd0081d537352cdfd9542f3,PNA-22,Ensure perimeter network firewalls log all remote user connections observed by the system.
perimeter-network-access-management-policy,Perimeter Network Access Management Policy,c94a7c665cfe5dbc830f342913c344b7a79e32662bd0081d537352cdfd9542f3,PNA-23,Maintain network deception technologies at the organization's perimeter network connections to facilitate incident detection and management.
