slug,title,pdf_sha256,category,definition
physical-security-management-policy,Physical Security Management Policy,2de23fb081f5e4b18cb60803970f5a917aede670515ec20d86536ef5a6d54741,PHY-01 Physical Security Program,Maintain a documented physical security program that documents the safeguards the organization will implement to address physical security.
physical-security-management-policy,Physical Security Management Policy,2de23fb081f5e4b18cb60803970f5a917aede670515ec20d86536ef5a6d54741,PHY-02 Violation Monitoring and Detection,Define a process to monitor and detect violations of the organization's physical security program.
physical-security-management-policy,Physical Security Management Policy,2de23fb081f5e4b18cb60803970f5a917aede670515ec20d86536ef5a6d54741,PHY-03 Physical Asset Disposal,Ensure the documented physical security program defines safeguards for securely disposing of physical assets.
physical-security-management-policy,Physical Security Management Policy,2de23fb081f5e4b18cb60803970f5a917aede670515ec20d86536ef5a6d54741,PHY-04 Perimeter Access Controls,Ensure the documented physical security program defines safeguards for perimeter access controls to the organization's facilities.
physical-security-management-policy,Physical Security Management Policy,2de23fb081f5e4b18cb60803970f5a917aede670515ec20d86536ef5a6d54741,PHY-05 Visitor Management,"Ensure the documented physical security program defines safeguards for authorizing, identifying, and monitoring visitors at the organization's facilities."
physical-security-management-policy,Physical Security Management Policy,2de23fb081f5e4b18cb60803970f5a917aede670515ec20d86536ef5a6d54741,PHY-06 Internal Physical Access Controls,Ensure the documented physical security program defines safeguards for addressing internal physical access controls at the organization's facilities.
physical-security-management-policy,Physical Security Management Policy,2de23fb081f5e4b18cb60803970f5a917aede670515ec20d86536ef5a6d54741,PHY-07 Physical Access Devices,"Ensure the documented physical security program defines safeguards for securely handling physical access devices, such as keys or cards."
physical-security-management-policy,Physical Security Management Policy,2de23fb081f5e4b18cb60803970f5a917aede670515ec20d86536ef5a6d54741,PHY-08 Asset Classification Marking,Ensure the documented physical security program defines safeguards to visibly mark the classification level of the organization's technology assets.
physical-security-management-policy,Physical Security Management Policy,2de23fb081f5e4b18cb60803970f5a917aede670515ec20d86536ef5a6d54741,PHY-09 Environmental Safeguards,Ensure the documented physical security program defines environmental safeguards to protect the organization's facilities and technology assets.
physical-security-management-policy,Physical Security Management Policy,2de23fb081f5e4b18cb60803970f5a917aede670515ec20d86536ef5a6d54741,PHY-10 Computing Device Access Controls,Ensure the documented physical security program defines safeguards to address access controls for physical computing devices.
physical-security-management-policy,Physical Security Management Policy,2de23fb081f5e4b18cb60803970f5a917aede670515ec20d86536ef5a6d54741,PHY-11 Technology Asset Removal,Ensure the documented physical security program defines safeguards governing how individuals can remove technology assets from the organization's facilities.
physical-security-management-policy,Physical Security Management Policy,2de23fb081f5e4b18cb60803970f5a917aede670515ec20d86536ef5a6d54741,PHY-12 Unattended Spaces,"Ensure the documented physical security program defines safeguards for how the organization will secure unattended spaces, such as through clean desk policies."
physical-security-management-policy,Physical Security Management Policy,2de23fb081f5e4b18cb60803970f5a917aede670515ec20d86536ef5a6d54741,"PHY-13 Printers, Copiers, and Multifunction Devices","Ensure the documented physical security program defines safeguards to secure technology assets such as printers, copiers, or multifunction devices."
physical-security-management-policy,Physical Security Management Policy,2de23fb081f5e4b18cb60803970f5a917aede670515ec20d86536ef5a6d54741,PHY-14 Physical Access Logging,Ensure the documented physical security program defines safeguards for logging physical access to its facilities.
physical-security-management-policy,Physical Security Management Policy,2de23fb081f5e4b18cb60803970f5a917aede670515ec20d86536ef5a6d54741,PHY-15 Physical Penetration Testing,Regularly perform physical penetration tests at each facility to ensure the organization's physical security safeguards operate as expected.
