slug,title,pdf_sha256,category,definition
privacy-management-policy,Privacy Management Policy,9fa85dece927cc3fc127ae49446287dddd12773b4dccdec854eba61baf81b08f,PRV-01,"Maintain a transparent, documented privacy program that documents the organization's safeguards to address data privacy."
privacy-management-policy,Privacy Management Policy,9fa85dece927cc3fc127ae49446287dddd12773b4dccdec854eba61baf81b08f,PRV-02,"Ensure that the documented privacy program defines a process for authorizing, maintaining, and revoking data processing authorizations."
privacy-management-policy,Privacy Management Policy,9fa85dece927cc3fc127ae49446287dddd12773b4dccdec854eba61baf81b08f,PRV-03,"Ensure that the documented privacy program defines a process for reviewing, transferring, disclosing, modifying, or deleting data from the organization's information systems for privacy purposes."
privacy-management-policy,Privacy Management Policy,9fa85dece927cc3fc127ae49446287dddd12773b4dccdec854eba61baf81b08f,PRV-04,Ensure that the documented privacy program defines a process for recording and maintaining an individual's privacy preferences.
privacy-management-policy,Privacy Management Policy,9fa85dece927cc3fc127ae49446287dddd12773b4dccdec854eba61baf81b08f,PRV-05,"Ensure that the documented privacy program defines a process for recording, maintaining, and reviewing stakeholder goals for data privacy."
privacy-management-policy,Privacy Management Policy,9fa85dece927cc3fc127ae49446287dddd12773b4dccdec854eba61baf81b08f,PRV-06,Ensure that the documented privacy program defines a process for evaluating the organization's use of data for bias.
privacy-management-policy,Privacy Management Policy,9fa85dece927cc3fc127ae49446287dddd12773b4dccdec854eba61baf81b08f,PRV-07,Ensure that the documented privacy program defines a process for recording and evaluating data provenance and lineage.
privacy-management-policy,Privacy Management Policy,9fa85dece927cc3fc127ae49446287dddd12773b4dccdec854eba61baf81b08f,PRV-08,Ensure that the documented privacy program defines a process for limiting the identification or inference of individuals when processing data.
privacy-management-policy,Privacy Management Policy,9fa85dece927cc3fc127ae49446287dddd12773b4dccdec854eba61baf81b08f,PRV-09,Ensure that the documented privacy program defines a process for replacing attribute values with attribute references in the organization's information systems for privacy purposes.
privacy-management-policy,Privacy Management Policy,9fa85dece927cc3fc127ae49446287dddd12773b4dccdec854eba61baf81b08f,PRV-10,Ensure that the documented privacy program defines a process for informing customers and external business partners about how their data is being used and the organization's privacy goals.
privacy-management-policy,Privacy Management Policy,9fa85dece927cc3fc127ae49446287dddd12773b4dccdec854eba61baf81b08f,PRV-11,Ensure that the documented privacy program defines a process to obtain feedback from individuals regarding the organization's use of data and the associated privacy risks.
privacy-management-policy,Privacy Management Policy,9fa85dece927cc3fc127ae49446287dddd12773b4dccdec854eba61baf81b08f,PRV-12,Ensure that the documented privacy program defines a process to allow individuals to request corrections to their data.
privacy-management-policy,Privacy Management Policy,9fa85dece927cc3fc127ae49446287dddd12773b4dccdec854eba61baf81b08f,PRV-13,Ensure that the documented privacy program defines a process to allow individuals to request deletion of their data (right to be forgotten).
privacy-management-policy,Privacy Management Policy,9fa85dece927cc3fc127ae49446287dddd12773b4dccdec854eba61baf81b08f,PRV-14,Ensure that the documented privacy program defines a process for sharing only appropriate data with third parties.
privacy-management-policy,Privacy Management Policy,9fa85dece927cc3fc127ae49446287dddd12773b4dccdec854eba61baf81b08f,PRV-15,Maintain a technology platform to record the organization's efforts related to its data privacy program.
privacy-management-policy,Privacy Management Policy,9fa85dece927cc3fc127ae49446287dddd12773b4dccdec854eba61baf81b08f,PRV-16,Ensure that the organization's privacy record system tracks individuals' stated privacy preferences.
privacy-management-policy,Privacy Management Policy,9fa85dece927cc3fc127ae49446287dddd12773b4dccdec854eba61baf81b08f,PRV-17,Ensure that the organization's privacy record system tracks data correction and deletion requests and the organization's response.
privacy-management-policy,Privacy Management Policy,9fa85dece927cc3fc127ae49446287dddd12773b4dccdec854eba61baf81b08f,PRV-18,Ensure that the organization's privacy record system tracks data disclosures or sharing of personal information with third parties.
