slug,title,pdf_sha256,category,definition
privileged-account-management-policy,Privileged Account Management Policy,2c6a9b8b8022787249bdf9a0241e5ce727273d242ca166289882e6163240bc64,PAM-01,Maintain an inventory of all privileged accounts configured on endpoint computing systems.
privileged-account-management-policy,Privileged Account Management Policy,2c6a9b8b8022787249bdf9a0241e5ce727273d242ca166289882e6163240bc64,PAM-02,Maintain an inventory of all privileged accounts configured on server computing systems.
privileged-account-management-policy,Privileged Account Management Policy,2c6a9b8b8022787249bdf9a0241e5ce727273d242ca166289882e6163240bc64,PAM-03,Maintain an inventory of all privileged accounts configured on network devices.
privileged-account-management-policy,Privileged Account Management Policy,2c6a9b8b8022787249bdf9a0241e5ce727273d242ca166289882e6163240bc64,PAM-04,Maintain an inventory of all privileged accounts configured on enterprise business applications.
privileged-account-management-policy,Privileged Account Management Policy,2c6a9b8b8022787249bdf9a0241e5ce727273d242ca166289882e6163240bc64,PAM-05,Ensure all privileged accounts on endpoint computing systems are authorized and dedicated privileged accounts are required.
privileged-account-management-policy,Privileged Account Management Policy,2c6a9b8b8022787249bdf9a0241e5ce727273d242ca166289882e6163240bc64,PAM-06,Ensure all privileged accounts on server computing systems are authorized and require dedicated privileged accounts.
privileged-account-management-policy,Privileged Account Management Policy,2c6a9b8b8022787249bdf9a0241e5ce727273d242ca166289882e6163240bc64,PAM-07,Ensure all privileged accounts on network devices are authorized and require dedicated privileged accounts.
privileged-account-management-policy,Privileged Account Management Policy,2c6a9b8b8022787249bdf9a0241e5ce727273d242ca166289882e6163240bc64,PAM-08,Ensure all privileged accounts on enterprise business applications are authorized and require dedicated privileged accounts.
privileged-account-management-policy,Privileged Account Management Policy,2c6a9b8b8022787249bdf9a0241e5ce727273d242ca166289882e6163240bc64,PAM-09,Ensure all default privileged accounts are not using their default system credentials to authenticate to the system.
privileged-account-management-policy,Privileged Account Management Policy,2c6a9b8b8022787249bdf9a0241e5ce727273d242ca166289882e6163240bc64,PAM-10,Ensure the organization does not allow shared privileged accounts for workforce members except in documented cases for emergency access or via a Privileged Account Management (PAM) system.
privileged-account-management-policy,Privileged Account Management Policy,2c6a9b8b8022787249bdf9a0241e5ce727273d242ca166289882e6163240bc64,PAM-11,"Maintain a Privileged Account Management (PAM) or Password Manager (PM) system for documenting service accounts, shared accounts, or shared secrets between workforce members."
privileged-account-management-policy,Privileged Account Management Policy,2c6a9b8b8022787249bdf9a0241e5ce727273d242ca166289882e6163240bc64,PAM-12,"Maintain a Privileged Account Management (PAM) system to automatically rotate the credentials, using unique credentials, for each endpoint or server computing system."
privileged-account-management-policy,Privileged Account Management Policy,2c6a9b8b8022787249bdf9a0241e5ce727273d242ca166289882e6163240bc64,PAM-13,"Maintain a Privileged Account Management (PAM) system to automatically rotate the credentials, using unique credentials, for each network device."
privileged-account-management-policy,Privileged Account Management Policy,2c6a9b8b8022787249bdf9a0241e5ce727273d242ca166289882e6163240bc64,PAM-14,Ensure the organization's Identity Providers (IDPs) require Multi-Factor Authentication (MFA) for all privileged accounts.
privileged-account-management-policy,Privileged Account Management Policy,2c6a9b8b8022787249bdf9a0241e5ce727273d242ca166289882e6163240bc64,PAM-15,Ensure the organization's Identity Providers (IDPs) log and alert when changes are made to privileged group memberships.
privileged-account-management-policy,Privileged Account Management Policy,2c6a9b8b8022787249bdf9a0241e5ce727273d242ca166289882e6163240bc64,PAM-16,"Ensure the organization's Identity Providers (IDPs) log and alert account logon events, both successful and failed, for all privileged accounts."
