slug,title,pdf_sha256,category,definition
risk-communication-management-policy,Risk Communication Management Policy,1c2e4282630f95bdcbf40449d676fea81c98def99b1383ecfedff2dd18930907,COM-01,"Maintain a Governance, Risk, and Compliance (GRC) or similar cybersecurity business intelligence software platform to document, track, and report on the organization's cybersecurity risks."
risk-communication-management-policy,Risk Communication Management Policy,1c2e4282630f95bdcbf40449d676fea81c98def99b1383ecfedff2dd18930907,COM-02,Ensure the GRC or similar cybersecurity business intelligence software platform maps the organization's cybersecurity tools against approved and prioritized cybersecurity safeguards.
risk-communication-management-policy,Risk Communication Management Policy,1c2e4282630f95bdcbf40449d676fea81c98def99b1383ecfedff2dd18930907,COM-03,Ensure the GRC or similar cybersecurity business intelligence software platform automatically integrates with all appropriate cybersecurity technologies to aggregate data regarding potential cybersecurity risks.
risk-communication-management-policy,Risk Communication Management Policy,1c2e4282630f95bdcbf40449d676fea81c98def99b1383ecfedff2dd18930907,COM-04,Ensure the GRC or similar cybersecurity business intelligence software platform manually records the status of cybersecurity safeguards that cannot be automatically entered into the system.
risk-communication-management-policy,Risk Communication Management Policy,1c2e4282630f95bdcbf40449d676fea81c98def99b1383ecfedff2dd18930907,COM-05,"Ensure the GRC or similar cybersecurity business intelligence software platform defines quality thresholds for each aggregated, quantified data point."
risk-communication-management-policy,Risk Communication Management Policy,1c2e4282630f95bdcbf40449d676fea81c98def99b1383ecfedff2dd18930907,COM-06,Ensure the GRC or similar cybersecurity business intelligence software platform uses dashboards that report cybersecurity risk on a safeguard basis.
risk-communication-management-policy,Risk Communication Management Policy,1c2e4282630f95bdcbf40449d676fea81c98def99b1383ecfedff2dd18930907,COM-07,Ensure the GRC or similar cybersecurity business intelligence software platform uses dashboards that report cybersecurity risk per business unit.
risk-communication-management-policy,Risk Communication Management Policy,1c2e4282630f95bdcbf40449d676fea81c98def99b1383ecfedff2dd18930907,COM-08,Ensure the GRC or similar cybersecurity business intelligence software platform uses dashboards that report cybersecurity risk both with and without approved exceptions taken into account.
risk-communication-management-policy,Risk Communication Management Policy,1c2e4282630f95bdcbf40449d676fea81c98def99b1383ecfedff2dd18930907,COM-09,Ensure the GRC or similar cybersecurity business intelligence software platform regularly reports cybersecurity risk to executive leadership stakeholders.
risk-communication-management-policy,Risk Communication Management Policy,1c2e4282630f95bdcbf40449d676fea81c98def99b1383ecfedff2dd18930907,COM-10,Ensure the GRC or similar cybersecurity business intelligence software platform regularly reports cybersecurity risk to business stakeholders.
risk-communication-management-policy,Risk Communication Management Policy,1c2e4282630f95bdcbf40449d676fea81c98def99b1383ecfedff2dd18930907,COM-11,Ensure the GRC or similar cybersecurity business intelligence software platform regularly reports cybersecurity risk to technical stakeholders.
