slug,title,pdf_sha256,category,definition
software-development-management-policy,Software Development Management Policy,64b973db10b254d60d3d11fe88e7db2014b5bbec0d202ef543ea9a5928035d2d,SDM-01,Ensure the organization's software development program adheres to the organization's cybersecurity governance safeguards.
software-development-management-policy,Software Development Management Policy,64b973db10b254d60d3d11fe88e7db2014b5bbec0d202ef543ea9a5928035d2d,SDM-02,Ensure that each of the organization's software application development teams is governed by the organization's approved cybersecurity governance program.
software-development-management-policy,Software Development Management Policy,64b973db10b254d60d3d11fe88e7db2014b5bbec0d202ef543ea9a5928035d2d,SDM-03,Maintain a documented Software Development Lifecycle (SDLC) to govern the organization's development and maintenance of software applications.
software-development-management-policy,Software Development Management Policy,64b973db10b254d60d3d11fe88e7db2014b5bbec0d202ef543ea9a5928035d2d,SDM-04,Ensure that each of the organization's software application development teams follows the organization's approved Software Development Lifecycle (SDLC).
software-development-management-policy,Software Development Management Policy,64b973db10b254d60d3d11fe88e7db2014b5bbec0d202ef543ea9a5928035d2d,SDM-05,"Maintain an approved inventory, by team, of each software development coding language used by the organization's software application development teams."
software-development-management-policy,Software Development Management Policy,64b973db10b254d60d3d11fe88e7db2014b5bbec0d202ef543ea9a5928035d2d,SDM-06,Maintain a documented set of coding standards for each software development coding language used by the organization's software application development teams.
software-development-management-policy,Software Development Management Policy,64b973db10b254d60d3d11fe88e7db2014b5bbec0d202ef543ea9a5928035d2d,SDM-07,"Ensure that each organization's software development coding standards define how software application developers perform data handling, such as input validation and output encoding, in their software applications."
software-development-management-policy,Software Development Management Policy,64b973db10b254d60d3d11fe88e7db2014b5bbec0d202ef543ea9a5928035d2d,SDM-08,Ensure that each organization's software development coding standards define how software application developers will use only organization- and industry-approved encryption algorithms in their software applications.
software-development-management-policy,Software Development Management Policy,64b973db10b254d60d3d11fe88e7db2014b5bbec0d202ef543ea9a5928035d2d,SDM-09,Ensure that each organization's software development coding standard defines how software application developers will use only organization- and industry-approved data exchange protocols in their software applications.
software-development-management-policy,Software Development Management Policy,64b973db10b254d60d3d11fe88e7db2014b5bbec0d202ef543ea9a5928035d2d,SDM-10,Ensure that each of the organization's software development coding standards specifically defines how software application developers will perform error handling in their software applications.
software-development-management-policy,Software Development Management Policy,64b973db10b254d60d3d11fe88e7db2014b5bbec0d202ef543ea9a5928035d2d,SDM-11,Ensure that each of the organization's software development coding standards defines how software application developers will implement the organization's approved authentication mechanisms in their software applications.
software-development-management-policy,Software Development Management Policy,64b973db10b254d60d3d11fe88e7db2014b5bbec0d202ef543ea9a5928035d2d,SDM-12,Ensure that each of the organization's software development coding standards defines how software application developers will implement the organization's approved authorization and access control patterns in their software applications.
software-development-management-policy,Software Development Management Policy,64b973db10b254d60d3d11fe88e7db2014b5bbec0d202ef543ea9a5928035d2d,SDM-13,Ensure that each of the organization's software development coding standards defines how software application developers will incorporate the organization's approved data privacy practices into their software applications.
software-development-management-policy,Software Development Management Policy,64b973db10b254d60d3d11fe88e7db2014b5bbec0d202ef543ea9a5928035d2d,SDM-14,Ensure that each of the organization's software development coding standards defines how software application developers will implement the organization's approved logging and telemetry requirements in their software applications.
software-development-management-policy,Software Development Management Policy,64b973db10b254d60d3d11fe88e7db2014b5bbec0d202ef543ea9a5928035d2d,SDM-15,"Ensure that the organization's software development coding standards require custom software applications to explicitly identify and document exposed application programming interfaces (APIs), including each API's purpose and the types of data exchanged through those interfaces."
software-development-management-policy,Software Development Management Policy,64b973db10b254d60d3d11fe88e7db2014b5bbec0d202ef543ea9a5928035d2d,SDM-16,"Ensure that the organization's software development coding standards explicitly apply to application programming interfaces (APIs), including requirements for input handling, error handling, authentication, authorization, and data exposure implemented through those interfaces."
