slug,title,pdf_sha256,category,definition
software-management-policy,Software Management Policy,d88336d42c31c1247e40e4644139253f52033b37aecb43259ed5e73b09bb3639,SW-01 Software Inventory,Maintain a system to maintain an inventory of the organization's approved software.
software-management-policy,Software Management Policy,d88336d42c31c1247e40e4644139253f52033b37aecb43259ed5e73b09bb3639,SW-02 Software Demographics,Ensure the organization's software inventory system records appropriate demographics for each software application.
software-management-policy,Software Management Policy,d88336d42c31c1247e40e4644139253f52033b37aecb43259ed5e73b09bb3639,SW-03 Automated Software Discovery,Ensure the organization's software inventory system regularly updates the software inventory via an automated discovery tool.
software-management-policy,Software Management Policy,d88336d42c31c1247e40e4644139253f52033b37aecb43259ed5e73b09bb3639,SW-04 Hardware and Software Inventory Correlation,Ensure the organization's software inventory system correlates the organization's hardware and software inventories in the same system.
software-management-policy,Software Management Policy,d88336d42c31c1247e40e4644139253f52033b37aecb43259ed5e73b09bb3639,SW-05 Vendor Support Validation,Ensure the organization's software inventory system validates that all software in the inventory is still supported by the software vendor.
software-management-policy,Software Management Policy,d88336d42c31c1247e40e4644139253f52033b37aecb43259ed5e73b09bb3639,SW-06 Operating System Updates,Ensure the organization's software inventory system validates that all operating system software in the organization's software inventory is kept up to date.
software-management-policy,Software Management Policy,d88336d42c31c1247e40e4644139253f52033b37aecb43259ed5e73b09bb3639,SW-07 Application Software Updates,Ensure the organization's software inventory system validates that all application software in the organization's software inventory is kept up to date.
software-management-policy,Software Management Policy,d88336d42c31c1247e40e4644139253f52033b37aecb43259ed5e73b09bb3639,SW-08 Software Update SLA,Maintain a Service Level Agreement (SLA) for the organization to define how often software updates must be performed on each software application.
software-management-policy,Software Management Policy,d88336d42c31c1247e40e4644139253f52033b37aecb43259ed5e73b09bb3639,SW-09 Software Update SLA Compliance,Define a process the organization will use to ensure all software adheres to the organization's approved software-update Service Level Agreement (SLA).
software-management-policy,Software Management Policy,d88336d42c31c1247e40e4644139253f52033b37aecb43259ed5e73b09bb3639,SW-10 Application Control System,Maintain a software application control system on each of the organization's computing systems to ensure that only authorized software can execute.
software-management-policy,Software Management Policy,d88336d42c31c1247e40e4644139253f52033b37aecb43259ed5e73b09bb3639,SW-11 Authorized Binaries,Ensure the organization's application control system only allows the execution of authorized binaries on each of the organization's computing systems.
software-management-policy,Software Management Policy,d88336d42c31c1247e40e4644139253f52033b37aecb43259ed5e73b09bb3639,SW-12 Authorized Software Libraries,"Ensure the organization's application control system only allows authorized software libraries, such as DLLs, on each of the organization's computing systems."
software-management-policy,Software Management Policy,d88336d42c31c1247e40e4644139253f52033b37aecb43259ed5e73b09bb3639,SW-13 Authorized Software Scripts,Ensure the organization's application control system only allows the use of authorized software scripts on each of the organization's computing systems.
software-management-policy,Software Management Policy,d88336d42c31c1247e40e4644139253f52033b37aecb43259ed5e73b09bb3639,SW-14 Authorized Operating System Shells,"Ensure the organization's application control system only allows the use of authorized operating system shells, such as Microsoft PowerShell or BASH, on each of its computing systems."
software-management-policy,Software Management Policy,d88336d42c31c1247e40e4644139253f52033b37aecb43259ed5e73b09bb3639,SW-15 Unauthorized Software Removal,Define a process the organization will use to remove unauthorized software from each of its computing systems in a timely manner.
