slug,title,pdf_sha256,category,definition
technology-equipment-disposal-standard,Technology Equipment Disposal Standard,bcd7f819ed306271eca8d7397c7994694e186c33cbb52caab5cf62d97f85d2cb,Centralized disposal,Technology assets that have reached the end of their useful life should be sent to the <Equipment Disposal Team> office for proper disposal.
technology-equipment-disposal-standard,Technology Equipment Disposal Standard,bcd7f819ed306271eca8d7397c7994694e186c33cbb52caab5cf62d97f85d2cb,Secure media erasure,The <Equipment Disposal Team> will securely erase all storage media in accordance with current industry best practices.
technology-equipment-disposal-standard,Technology Equipment Disposal Standard,bcd7f819ed306271eca8d7397c7994694e186c33cbb52caab5cf62d97f85d2cb,Sector overwrite,"All data, including files and licensed software, shall be removed using disk-sanitizing software that overwrites every disk sector with zero-filled blocks and meets Department of Defense standards."
technology-equipment-disposal-standard,Technology Equipment Disposal Standard,bcd7f819ed306271eca8d7397c7994694e186c33cbb52caab5cf62d97f85d2cb,Controlled equipment sales,Computer or technology equipment may not be sold to any individual except through the processes identified in this policy.
technology-equipment-disposal-standard,Technology Equipment Disposal Standard,bcd7f819ed306271eca8d7397c7994694e186c33cbb52caab5cf62d97f85d2cb,Prohibited waste disposal,"Computer equipment should not be disposed of via skips, dumps, landfills, or similar means."
technology-equipment-disposal-standard,Technology Equipment Disposal Standard,bcd7f819ed306271eca8d7397c7994694e186c33cbb52caab5cf62d97f85d2cb,Electronic recycling bins,Electronic recycling bins placed around <Company Name> may be used to dispose of equipment.
technology-equipment-disposal-standard,Technology Equipment Disposal Standard,bcd7f819ed306271eca8d7397c7994694e186c33cbb52caab5cf62d97f85d2cb,Data removal before disposal,The <Equipment Disposal Team> will properly remove all data before final disposal.
technology-equipment-disposal-standard,Technology Equipment Disposal Standard,bcd7f819ed306271eca8d7397c7994694e186c33cbb52caab5cf62d97f85d2cb,Electronic drive sanitization,All electronic drives must be degaussed or overwritten with a commercially available disk-cleaning program.
technology-equipment-disposal-standard,Technology Equipment Disposal Standard,bcd7f819ed306271eca8d7397c7994694e186c33cbb52caab5cf62d97f85d2cb,Hard drive destruction,"Hard drives may be removed and rendered unreadable through drilling, crushing, or other demolition methods."
technology-equipment-disposal-standard,Technology Equipment Disposal Standard,bcd7f819ed306271eca8d7397c7994694e186c33cbb52caab5cf62d97f85d2cb,Disk-wipe label,The <Equipment Disposal Team> will place a sticker on the equipment case indicating that the disk wipe has been performed.
technology-equipment-disposal-standard,Technology Equipment Disposal Standard,bcd7f819ed306271eca8d7397c7994694e186c33cbb52caab5cf62d97f85d2cb,Wipe documentation,The disk-wipe sticker will include the date and initials of the technician who performed the wipe.
technology-equipment-disposal-standard,Technology Equipment Disposal Standard,bcd7f819ed306271eca8d7397c7994694e186c33cbb52caab5cf62d97f85d2cb,Non-functioning storage destruction,"For technology equipment with non-functioning memory or storage technology, the memory or storage device will be removed and physically destroyed."
technology-equipment-disposal-standard,Technology Equipment Disposal Standard,bcd7f819ed306271eca8d7397c7994694e186c33cbb52caab5cf62d97f85d2cb,Employee purchase eligibility,Equipment that is working but has reached the end of its useful life to <Company Name> will be made available for purchase by employees.
technology-equipment-disposal-standard,Technology Equipment Disposal Standard,bcd7f819ed306271eca8d7397c7994694e186c33cbb52caab5cf62d97f85d2cb,Purchase lottery,A lottery system will be used to determine who has the opportunity to purchase available equipment.
technology-equipment-disposal-standard,Technology Equipment Disposal Standard,bcd7f819ed306271eca8d7397c7994694e186c33cbb52caab5cf62d97f85d2cb,Mandatory lottery process,All equipment purchases must go through the lottery process.
technology-equipment-disposal-standard,Technology Equipment Disposal Standard,bcd7f819ed306271eca8d7397c7994694e186c33cbb52caab5cf62d97f85d2cb,No direct purchase or reservation,Employees cannot directly purchase their office computer or reserve a system.
technology-equipment-disposal-standard,Technology Equipment Disposal Standard,bcd7f819ed306271eca8d7397c7994694e186c33cbb52caab5cf62d97f85d2cb,Equipment pricing,Finance and Information Technology will determine an appropriate cost for each item.
technology-equipment-disposal-standard,Technology Equipment Disposal Standard,bcd7f819ed306271eca8d7397c7994694e186c33cbb52caab5cf62d97f85d2cb,Final sales,All equipment purchases are final.
technology-equipment-disposal-standard,Technology Equipment Disposal Standard,bcd7f819ed306271eca8d7397c7994694e186c33cbb52caab5cf62d97f85d2cb,No warranty or support,No warranty or support will be provided with equipment sold.
technology-equipment-disposal-standard,Technology Equipment Disposal Standard,bcd7f819ed306271eca8d7397c7994694e186c33cbb52caab5cf62d97f85d2cb,Unsold or nonworking equipment,Equipment that is not in working order or remains after the lottery process will be donated or disposed of according to current environmental guidelines.
technology-equipment-disposal-standard,Technology Equipment Disposal Standard,bcd7f819ed306271eca8d7397c7994694e186c33cbb52caab5cf62d97f85d2cb,Approved donation or disposal organizations,Outdated technology assets will be donated or properly disposed of through organizations contracted by Information Technology.
technology-equipment-disposal-standard,Technology Equipment Disposal Standard,bcd7f819ed306271eca8d7397c7994694e186c33cbb52caab5cf62d97f85d2cb,Inventory removal,"Before leaving <Company Name> premises, all equipment must be removed from the Information Technology inventory system."
