slug,title,pdf_sha256,category,definition
third-party-risk-management-policy,Third-Party Management Policy,121680205c23fd06cc18da68b6267f8813f0393ec97d55e7931609243ccda33d,TPR-01 Third-Party Approval,Maintain a process for approving each third party that stores or processes any of the organization's technology systems or data.
third-party-risk-management-policy,Third-Party Management Policy,121680205c23fd06cc18da68b6267f8813f0393ec97d55e7931609243ccda33d,TPR-02 Third-Party Documentation Platform,"Maintain a Governance, Risk, and Compliance (GRC) or similar platform to document and inventory each third party that stores or processes any of the organization's technology systems or data."
third-party-risk-management-policy,Third-Party Management Policy,121680205c23fd06cc18da68b6267f8813f0393ec97d55e7931609243ccda33d,TPR-03 Complete Third-Party Inventory,Ensure that the GRC or similar platform maintains a complete inventory of all third parties that store or process any of the organization's technology systems or data.
third-party-risk-management-policy,Third-Party Management Policy,121680205c23fd06cc18da68b6267f8813f0393ec97d55e7931609243ccda33d,TPR-04 Third-Party Demographics,"Ensure that the GRC or similar platform documents the demographics of all third parties that store or process any of the organization's technology systems or data, such as business owner, criticality, and whether data is shared."
third-party-risk-management-policy,Third-Party Management Policy,121680205c23fd06cc18da68b6267f8813f0393ec97d55e7931609243ccda33d,TPR-05 Third-Party Data Inventory,Ensure that the GRC or similar platform maintains a complete inventory of all data stored or processed by third parties.
third-party-risk-management-policy,Third-Party Management Policy,121680205c23fd06cc18da68b6267f8813f0393ec97d55e7931609243ccda33d,TPR-06 Standard Contract Language,"Maintain consistent, appropriate, and approved contract language for each third party that stores or processes any of the organization's technology systems or data."
third-party-risk-management-policy,Third-Party Management Policy,121680205c23fd06cc18da68b6267f8813f0393ec97d55e7931609243ccda33d,TPR-07 Cybersecurity Event Reporting,"Ensure that third-party contract language requires any third party experiencing a significant cybersecurity event, such as a data breach, to promptly report it to the organization."
third-party-risk-management-policy,Third-Party Management Policy,121680205c23fd06cc18da68b6267f8813f0393ec97d55e7931609243ccda33d,TPR-08 Contractual Safeguard Requirement,Ensure that third-party contract language includes provisions requiring all third parties to implement cybersecurity safeguards.
third-party-risk-management-policy,Third-Party Management Policy,121680205c23fd06cc18da68b6267f8813f0393ec97d55e7931609243ccda33d,TPR-09 Defined Mandatory and Optional Safeguards,Ensure that third-party contract language requires all third parties to implement a defined set of cybersecurity safeguards and defines which safeguards are optional versus mandatory.
third-party-risk-management-policy,Third-Party Management Policy,121680205c23fd06cc18da68b6267f8813f0393ec97d55e7931609243ccda33d,TPR-10 Contract Acceptance,Ensure that each third party that stores or processes any of the organization's technology systems or data signs the agreed-upon contract terms.
third-party-risk-management-policy,Third-Party Management Policy,121680205c23fd06cc18da68b6267f8813f0393ec97d55e7931609243ccda33d,TPR-11 Regular Third-Party Assessments,"Ensure that each third party that stores or processes any of the organization's technology systems or data is regularly assessed for appropriate cybersecurity safeguards, using third-party reports such as SOC 2 where appropriate."
third-party-risk-management-policy,Third-Party Management Policy,121680205c23fd06cc18da68b6267f8813f0393ec97d55e7931609243ccda33d,TPR-12 Cybersecurity Event Monitoring,Ensure that each third party that stores or processes any of the organization's technology systems or data is monitored for significant cybersecurity events.
third-party-risk-management-policy,Third-Party Management Policy,121680205c23fd06cc18da68b6267f8813f0393ec97d55e7931609243ccda33d,TPR-13 Aggregate Cybersecurity Rating,"Ensure that each third party that stores or processes any of the organization's technology systems or data is given an aggregate cybersecurity rating based on its criticality, implementation of appropriate cybersecurity safeguards, and occurrence of significant cybersecurity events."
third-party-risk-management-policy,Third-Party Management Policy,121680205c23fd06cc18da68b6267f8813f0393ec97d55e7931609243ccda33d,TPR-14 Third-Party Decommissioning,Ensure that each third party that stores or processes any of the organization's technology systems or data is appropriately decommissioned when there is no longer a need for the third party to perform such services.
